"Period",Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi-do,Gangwon-do,Chungcheongbuk-do,Chungcheongnam-do,Jeollabuk-do,Jeollanam-do,Gyeongsangbuk-do,Gyeongsangnam-do,Jeju-do
"Period",Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales
"2020.01",1728347,504010,360931,226655,152935,195872,149503,37212,1479522,93815,104740,153993,100668,74046,132828,241818,47496
"2020.02",1287613,361206,243490,169993,105088,148507,111768,31558,1116849,73219,74846,118321,65189,56280,93512,176321,35493
"2020.03",1290280,355030,211357,175025,116026,145830,102192,32017,1175721,71575,75438,111030,74055,58965,90788,174017,38401
"2020.04",1427843,396520,264217,180178,127889,158786,120380,34818,1202642,74470,79434,127653,76843,57858,98542,184200,39006
"2020.05",1597376,457564,318775,185107,147426,182017,138662,36941,1303897,86080,84747,137715,84064,65347,107302,209582,41508
"2020.06",1516805,429426,307351,178298,133014,159540,122703,33912,1255803,81244,82676,132495,78398,62120,101732,195001,40550
"2020.07",1487521,426920,302869,187271,110517,145863,119414,35437,1245416,82539,80425,129993,79955,63577,101685,193334,42666
"2020.08",1511135,459094,326302,201708,131054,163968,128398,39228,1298878,88578,87744,135793,86393,68862,115835,208987,47511
"2020.09",1778057,506474,369042,233963,150399,190700,141208,44672,1534793,95572,101509,156347,100073,73660,131017,231890,49516
"2020.10",1658102,472468,343677,199930,147130,185995,134169,38331,1392744,87874,92099,141094,87888,64140,108169,205534,41995
"2020.11",1693045,480085,347074,197892,144128,189007,134411,36662,1376684,82266,87484,133723,84261,61132,107093,194568,41931
"2020.12",1664905,459256,349812,216295,139801,183048,127964,43393,1459676,89787,87781,135692,89749,68893,112859,205007,46390
"2021.01",1636924,479486,346509,215749,140005,179621,136747,43236,1441680,86804,92223,144576,90616,68241,113996,212868,46022
"2021.02",1619991,477460,337067,210412,141708,178052,132725,39817,1395021,90163,92894,140010,91801,68382,120792,215413,44313
"2021.03",1765236,486097,345511,206099,146106,188766,130735,39668,1383351,83814,85349,136912,81084,63219,108118,197254,41646
"2021.04",1762615,473335,337576,205308,146546,173468,126888,38643,1355327,83868,84683,133866,83090,62273,107263,201912,42762
"2021.05",1880156,525182,365820,220749,152508,187930,136171,42760,1495965,94223,93433,147761,92618,68191,117527,221714,46807
"2021.06",1720410,471881,328839,193252,135219,171879,124457,38636,1336139,82408,81970,133799,80453,61500,106078,198587,44138
"2021.07",1620378,479711,333428,209926,140081,169157,131239,41317,1417741,91258,90539,153506,90810,68234,132075,214203,44651
"2021.08",1648541,455313,321455,205398,139363,200743,124055,41380,1454327,90897,85794,138212,84488,69072,115699,199732,46375
"2021.09",1898480,524165,375606,232234,156436,251919,144032,43711,1590474,96575,98844,149616,99756,73484,128287,227741,46696
"2021.10",1983437,546008,385086,218299,161583,250956,145169,42290,1571683,95850,94938,150530,89208,69416,118072,224314,47111
"2021.11",1965801,532623,369849,198896,161348,239574,137541,35729,1449610,86868,88071,141610,80322,63557,106399,216028,41538
"2021.12",2022992,529422,376292,218940,162226,252192,135805,44269,1571819,95162,92367,150545,87420,67375,116026,216674,46293
"2022.01",2068500,574752,409801,236871,158814,257482,150475,52661,1727606,104404,101198,164700,97705,74314,137984,245854,51793
"2022.02",1614767,449492,301443,180480,129985,198247,111640,35566,1271268,80469,74437,125696,75473,55372,97461,184188,38993
"2022.03",1918692,511630,350408,212801,148247,226844,134410,42169,1453605,86393,90407,139715,85705,63543,109540,204657,42429
"2022.04",1929560,527143,357041,214777,159431,228290,132445,41898,1472951,87679,84978,142029,85245,62174,109618,217222,42586
"2022.05",2059369,566154,381541,222215,162890,236014,140915,43910,1575843,97224,91396,150735,91660,65406,118513,230156,45671
"2022.06",1833389,511671,347722,205405,151426,241970,126368,41732,1436386,90164,81537,141784,85349,64961,112716,210560,44736
"2022.07",1887233,543925,374028,215543,157247,242321,128664,44362,1554382,96834,89303,147425,90598,69185,127159,232968,46888
"2022.08",1865013,512007,356729,218468,152782,241293,124629,41482,1590092,94150,91602,147760,93144,67325,128607,237366,49349
"2022.09",1928799,562512,379193,237406,159663,264485,142429,47553,1640202,95203,95642,161787,105563,74636,124427,271617,47448
"2022.10",2022004,568447,386629,219828,161491,266095,136071,44218,1574471,90122,91165,145192,91024,63476,112794,258225,45093
"2022.11",1959531,540391,359649,202688,154914,254783,127369,41363,1468227,88977,89385,157758,83400,62260,106034,235997,44559
"2022.12",2112618,583283,400371,224096,160333,282786,140236,48679,1633293,98234,97477,168925,89349,69200,117824,253371,46438
"2023.01",1952008,580919,405011,238647,170991,262659,146556,49908,1691485,99843,105873,173489,107324,73664,144850,293118,51705
"2023.02",1789799,488656,323605,187162,135187,227612,119724,37556,1384482,75741,81008,126398,78792,56048,97352,215416,38377
"2023.03",2039622,550987,363186,218601,155101,250926,138574,43274,1573922,85714,93039,141252,90698,64056,112001,246055,42546
"2023.04",2112473,570502,372936,230962,162999,254434,141108,44657,1575166,83425,92655,141762,92023,68006,104885,244404,46128
