"By Administrative District","By Age Group (Five-Year)","Item","UNIT","2020.01 Month","2020.02 Month","2020.03 Month","2020.04 Month","2020.05 Month","2020.06 Month","2020.07 Month","2020.08 Month","2020.09 Month","2020.10 Month","2020.11 Month","2020.12 Month","2021.01 Month","2021.02 Month","2021.03 Month","2021.04 Month","2021.05 Month","2021.06 Month","2021.07 Month","2021.08 Month","2021.09 Month","2021.10 Month","2021.11 Month","2021.12 Month","2022.01 Month","2022.02 Month","2022.03 Month","2022.04 Month","2022.05 Month","2022.06 Month","2022.07 Month","2022.08 Month","2022.09 Month","2022.10 Month","2022.11 Month","2022.12 Month","2023.01 Month","2023.02 Month","2023.03 Month","2023.04 Month","2023.05 Month","2023.06 Month","2023.07 Month","2023.08 Month","2023.09 Month","2023.10 Month","2023.11 Month","2023.12 Month","2024.01 Month","2024.02 Month","2024.03 Month","2024.04 Month","2024.05 Month","2024.06 Month","2024.07 Month","2024.08 Month","2024.09 Month","2024.10 Month","2024.11 Month","2024.12 Month","2025.01 Month","2025.02 Month","2025.03 Month","2025.04 Month","2025.05 Month","2025.06 Month","2025.07 Month","2025.08 Month","2025.09 Month","2025.10 Month","2025.11 Month","2025.12 Month",
"Whole country","Total","Population[Person]","Person","51847509","51844627","51843195","51842524","51841371","51839408","51839852","51839953","51841786","51838016","51834302","51829023","51825932","51824142","51705905","51702100","51683025","51672400","51671569","51669716","51667688","51662290","51652704","51638809","51632473","51625561","51610695","51592660","51583722","51578178","51574446","51558441","51466658","51459626","51450829","51439038","51430018","51421479","51414281","51408155","51400521","51392745","51387133","51377213","51370001","51354226","51337076","51325329","51313912","51303688","51293934","51285153","51277347","51271480","51265238","51256511","51248233","51238450","51226757","51217221","51207874","51191817","51183336","51175725","51169148","51164582","51159889","51154981","51149546","51143421","51128530","51117378",
"Whole country","Total","Male[Person]","Person","25862863","25860491","25858743","25857509","25856030","25853937","25852796","25851388","25851003","25847719","25844667","25841029","25838512","25836561","25787390","25784538","25775853","25770033","25768310","25766031","25763891","25760238","25754446","25746684","25742528","25738197","25730584","25721053","25715591","25711784","25708650","25699579","25653998","25649509","25643889","25636951","25631538","25626211","25621573","25617485","25612361","25607244","25603147","25596921","25592335","25582773","25572695","25565736","25558944","25553189","25547370","25541855","25536793","25532696","25528507","25522808","25517454","25511290","25504176","25498324","25492996","25484498","25479498","25474633","25470398","25467115","25463429","25459789","25455867","25451723","25443016","25436665",
"Whole country","Total","Female[Person]","Person","25984646","25984136","25984452","25985015","25985341","25985471","25987056","25988565","25990783","25990297","25989635","25987994","25987420","25987581","25918515","25917562","25907172","25902367","25903259","25903685","25903797","25902052","25898258","25892125","25889945","25887364","25880111","25871607","25868131","25866394","25865796","25858862","25812660","25810117","25806940","25802087","25798480","25795268","25792708","25790670","25788160","25785501","25783986","25780292","25777666","25771453","25764381","25759593","25754968","25750499","25746564","25743298","25740554","25738784","25736731","25733703","25730779","25727160","25722581","25718897","25714878","25707319","25703838","25701092","25698750","25697467","25696460","25695192","25693679","25691698","25685514","25680713",
"Whole country","0-4 Years old","Population[Person]","Person","1827643","1814637","1799753","1784299","1770084","1756612","1743226","1729645","1716872","1700800","1687896","1677023","1659105","1646210","1631796","1619492","1606712","1595533","1584170","1572868","1560008","1549314","1539170","1530469","1516736","1507838","1497685","1489468","1481270","1472109","1462542","1455094","1447698","1441190","1434268","1427590","1417505","1410275","1402248","1392925","1385492","1378543","1370536","1362560","1354266","1347862","1340661","1334588","1325455","1318937","1310783","1304771","1299643","1293234","1288987","1284667","1280673","1276904","1272796","1271776","1266712","1265280","1261691","1259581","1257263","1255736","1254429","1252495","1251429","1252663","1251606","1254501",
"Whole country","0-4 Years old","Male[Person]","Person","937713","931188","923406","915265","907897","901007","894086","887062","880373","872295","865652","860253","851013","844572","837299","831066","824557","818846","812867","807150","800511","795057","789986","785425","778266","773633","768358","764015","759706","754921","749841","746099","742149","738766","735117","731554","726460","722848","718749","713998","710118","706625","702534","698391","694081","690593","686869","683649","678966","675709","671440","668231","665574","662107","659954","657672","655417","653516","651510","650872","648339","647679","645950","644891","643617","643048","642321","641290","640953","641734","640997","642614",
"Whole country","0-4 Years old","Female[Person]","Person","889930","883449","876347","869034","862187","855605","849140","842583","836499","828505","822244","816770","808092","801638","794497","788426","782155","776687","771303","765718","759497","754257","749184","745044","738470","734205","729327","725453","721564","717188","712701","708995","705549","702424","699151","696036","691045","687427","683499","678927","675374","671918","668002","664169","660185","657269","653792","650939","646489","643228","639343","636540","634069","631127","629033","626995","625256","623388","621286","620904","618373","617601","615741","614690","613646","612688","612108","611205","610476","610929","610609","611887",
"Whole country","5-9 Years old","Population[Person]","Person","2321011","2320187","2319722","2319549","2319378","2319182","2319048","2316305","2310893","2304230","2296576","2293047","2285139","2281218","2276998","2271913","2267462","2263696","2259589","2254317","2249841","2243234","2236333","2229881","2219906","2211012","2200049","2190424","2181422","2172465","2162139","2151118","2139473","2125432","2114023","2105052","2093251","2084380","2076042","2067217","2059793","2053367","2044583","2035855","2025104","2015700","2007367","1998304","1987662","1976766","1965994","1955166","1945062","1935275","1924413","1912434","1898769","1888125","1879586","1868342","1853337","1840264","1824807","1810338","1796896","1783737","1770516","1758034","1745185","1730371","1716992","1704722",
"Whole country","5-9 Years old","Male[Person]","Person","1190827","1190088","1189831","1189680","1189600","1189568","1189456","1188023","1185038","1181462","1177525","1175459","1171455","1169307","1167059","1164146","1161838","1159925","1157784","1154806","1152427","1149123","1145510","1142373","1137135","1132431","1126676","1121950","1117361","1112691","1107540","1101740","1095857","1088748","1083105","1078825","1072653","1067962","1063773","1059248","1055519","1052112","1047595","1043210","1037757","1032949","1028808","1024361","1019087","1013367","1007855","1002291","997144","992036","986513","980329","973637","968133","963658","958188","950546","943942","935883","928253","921413","914499","907710","901277","894512","887024","880197","874056",
"Whole country","5-9 Years old","Female[Person]","Person","1130184","1130099","1129891","1129869","1129778","1129614","1129592","1128282","1125855","1122768","1119051","1117588","1113684","1111911","1109939","1107767","1105624","1103771","1101805","1099511","1097414","1094111","1090823","1087508","1082771","1078581","1073373","1068474","1064061","1059774","1054599","1049378","1043616","1036684","1030918","1026227","1020598","1016418","1012269","1007969","1004274","1001255","996988","992645","987347","982751","978559","973943","968575","963399","958139","952875","947918","943239","937900","932105","925132","919992","915928","910154","902791","896322","888924","882085","875483","869238","862806","856757","850673","843347","836795","830666",
"Whole country","10-14 Years old","Population[Person]","Person","2301928","2303211","2303504","2305680","2307180","2309910","2312869","2315672","2321149","2328052","2334337","2337589","2345005","2346014","2348504","2351681","2353447","2355482","2359174","2361735","2362857","2363390","2364308","2364196","2365898","2366443","2367644","2367899","2367903","2369555","2370782","2368657","2365627","2362437","2359740","2357952","2355722","2354205","2350514","2348692","2346881","2345319","2343738","2342608","2339862","2336067","2333537","2330969","2328219","2328483","2326913","2326758","2326879","2327191","2328149","2328928","2328895","2327761","2325120","2324303","2323616","2322850","2322447","2322318","2322194","2322061","2322018","2319260","2313809","2307168","2299422","2295957",
