"By Administrative District","Item","UNIT","2020.01 Month","2020.02 Month","2020.03 Month","2020.04 Month","2020.05 Month","2020.06 Month","2020.07 Month","2020.08 Month","2020.09 Month","2020.10 Month","2020.11 Month","2020.12 Month","2021.01 Month","2021.02 Month","2021.03 Month","2021.04 Month","2021.05 Month","2021.06 Month","2021.07 Month","2021.08 Month","2021.09 Month","2021.10 Month","2021.11 Month","2021.12 Month","2022.01 Month","2022.02 Month","2022.03 Month","2022.04 Month","2022.05 Month","2022.06 Month","2022.07 Month","2022.08 Month","2022.09 Month","2022.10 Month","2022.11 Month","2022.12 Month","2023.01 Month","2023.02 Month","2023.03 Month","2023.04 Month","2023.05 Month","2023.06 Month","2023.07 Month","2023.08 Month","2023.09 Month","2023.10 Month","2023.11 Month","2023.12 Month","2024.01 Month","2024.02 Month","2024.03 Month","2024.04 Month","2024.05 Month","2024.06 Month","2024.07 Month","2024.08 Month","2024.09 Month","2024.10 Month","2024.11 Month","2024.12 Month","2025.01 Month","2025.02 Month","2025.03 Month","2025.04 Month","2025.05 Month","2025.06 Month","2025.07 Month","2025.08 Month","2025.09 Month","2025.10 Month","2025.11 Month",
"Whole country","Household[Household]","Household","22513039","22561161","22613882","22663240","22732288","22791531","22842044","22898959","22952513","22991110","23037033","23093108","23137172","23194982","23157385","23198657","23225281","23256332","23294707","23336989","23383689","23415533","23444608","23472895","23498025","23546053","23590069","23617091","23650555","23675578","23699750","23724829","23682288","23697051","23699243","23705814","23716980","23757654","23795469","23814826","23838308","23856142","23873825","23888954","23900917","23901564","23904793","23914851","23924692","23962497","24002008","24021667","24042533","24057429","24074820","24087679","24102045","24105045","24109581","24118928","24124988","24170531","24197999","24212185","24223795","24238510","24250962","24266454","24282926","24287806","24290907",
"Seoul","Household[Household]","Household","4334918","4345877","4354006","4361645","4373610","4384076","4391545","4400154","4405833","4408498","4412343","4417954","4421022","4427814","4400403","4403263","4403381","4405638","4409964","4416816","4421143","4422587","4424222","4426007","4430541","4442586","4451444","4455106","4460604","4464840","4469392","4472975","4450525","4450389","4448660","4446296","4447861","4457982","4463385","4465391","4467999","4469158","4471174","4473734","4475726","4472603","4469374","4469417","4471017","4480607","4485819","4486137","4486224","4486014","4486857","4487525","4487671","4484218","4481533","4482063","4482949","4492425","4497896","4498689","4498871","4501234","4502552","4504347","4505357","4503798","4501136",
"Jongno-gu","Household[Household]","Household","73925","74028","74151","74299","74408","74497","74605","74700","74861","74835","74900","75003","75060","75112","74113","74178","73712","73525","73453","73580","73652","73613","73586","73494","73541","73763","73766","73773","73822","73728","73756","73866","72797","72758","72666","72524","72479","72773","72679","72644","72584","72507","72440","72381","72304","72132","72060","72067","72101","72294","72404","72479","72475","72394","72429","72377","72341","72248","72230","72166","72156","72319","72387","72430","72434","72509","72499","72410","72402","72409","72352",
"Jung-gu","Household[Household]","Household","62814","63016","63045","63091","63234","63354","63397","63540","63594","63640","63666","63686","63707","63789","63746","63851","62847","62897","63001","63130","63267","63409","63493","63519","63520","63644","63767","63834","63880","63958","64040","64011","63300","63206","63167","63139","63123","63492","63862","64081","64260","64375","64465","64558","64609","64590","64586","64714","64758","64972","65132","65225","65230","65273","65338","65373","65378","65316","65120","64995","64933","64932","64863","64738","64617","64490","64369","64286","64259","64120","63952",
"Yongsan-gu","Household[Household]","Household","110457","110770","110895","111037","111319","111586","111800","112059","112451","112699","112906","113093","113267","113600","112881","112940","112275","111650","111635","111419","111177","111067","111126","111036","111010","111134","111207","111293","111508","111860","111948","112074","109954","109936","109905","109805","109734","109778","109735","109712","109717","109679","109674","109527","109360","108907","108381","107825","107328","106972","106272","105240","104367","104187","104057","103992","103860","103504","103335","103241","103204","103226","103236","103206","103206","103235","103274","103203","103187","103214","103005",
"Seongdong-gu","Household[Household]","Household","135732","135797","135643","135563","135712","135937","136030","136094","136096","135978","135871","135870","135862","135958","135883","135884","134664","134542","134493","134507","134620","134517","134400","134233","134126","134286","134533","134437","134357","134327","134387","134616","133819","133599","133435","133305","133293","133517","133513","133503","133551","133484","133464","133433","133366","133253","133178","133089","132985","133197","133374","133297","133325","133233","133102","132969","132856","132615","132248","131953","131857","132124","132253","132175","132192","132209","132160","132488","132994","133109","133145",
"Gwangjin-gu","Household[Household]","Household","164730","165100","165287","165579","166014","166307","166520","166703","166857","166944","167173","167427","167561","167677","166638","166666","166866","166957","167057","167233","167438","167559","167661","167949","168238","168975","169483","169638","169769","169856","169985","170014","169338","169382","169376","169291","169416","169648","169787","169725","169950","169857","169935","170210","170388","170271","170152","170077","170093","170409","170557","170588","170508","170469","170439","170449","170383","170233","170110","169931","169878","170185","170639","170972","171296","171520","171464","171399","171265","171205","171105",
"Dongdaemun-gu","Household[Household]","Household","164359","164844","165279","165516","166073","166451","166662","166933","167232","167301","167428","167598","167524","167854","165924","166000","166197","166372","166670","167136","167591","167754","167960","168219","168435","169211","169695","169650","169815","169931","170066","170413","170068","170169","170154","169873","169716","170766","171140","171288","171388","171703","171945","172680","173091","173003","172934","172801","172756","173590","174010","174086","174045","173903","173860","173942","173878","173654","173296","172840","172811","173949","174846","174822","174795","174918","175487","175915","176040","175850","175750",
"Jungnang-gu","Household[Household]","Household","181774","182034","182220","182433","182930","183310","183607","184597","185109","185356","185610","185920","186225","186457","185506","185458","185026","185073","185131","185333","185497","185505","185514","185712","186076","187004","187693","187953","188134","188188","188269","188283","187513","187467","187418","187413","187489","187776","187898","187977","188020","187981","187978","187877","187900","187858","187680","188097","188277","188620","188653","188694","188736","188664","188789","188826","188803","188737","188637","188651","188637","188657","188661","188666","188618","188724","188746","188783","188870","189015","189192",
"Seongbuk-gu","Household[Household]","Household","192809","193344","193801","194095","194735","195064","195178","195325","195379","195415","195331","195396","195703","196066","193965","194136","194304","194364","194528","194774","195099","195126","195064","195017","194981","196281","197296","197566","197884","198089","198258","198452","197588","197535","197354","197082","196936","197673","197859","197801","197906","197831","197686","197673","197607","197271","197041","196800","196512","197012","197445","197440","197353","197371","197324","197429","197414","196991","196744","196485","196178","196729","196988","197587","198280","198882","199125","199237","199326","199197","199047",
