Resident_Population_by_City__County__and_District_20260104192233
Period,Whole country,Whole country,Whole country,Seoul,Seoul,Seoul,Busan,Busan,Busan,Daegu,Daegu,Daegu,Incheon,Incheon,Incheon,Gwangju,Gwangju,Gwangju,Daejeon,Daejeon,Daejeon,Ulsan,Ulsan,Ulsan,Sejong_si,Sejong_si,Sejong_si,Gyeonggi-do,Gyeonggi-do,Gyeonggi-do,Gangwon-do,Gangwon-do,Gangwon-do,Chungcheongbuk-do,Chungcheongbuk-do,Chungcheongbuk-do,Chungcheongnam-do,Chungcheongnam-do,Chungcheongnam-do,Jeollabuk-do,Jeollabuk-do,Jeollabuk-do,Jeollanam-do,Jeollanam-do,Jeollanam-do,Gyeongsangbuk-do,Gyeongsangbuk-do,Gyeongsangbuk-do,Gyeongsangnam-do,Gyeongsangnam-do,Gyeongsangnam-do,Jeju-do,Jeju-do,Jeju-do
Period,Koreans (Total) (Person),Koreans (Male) (Person),Koreans (Female) (Person),Koreans (Total) (Person),Koreans (Male) (Person),Koreans (Female) (Person),Koreans (Total) (Person),Koreans (Male) (Person),Koreans (Female) (Person),Koreans (Total) (Person),Koreans (Male) (Person),Koreans (Female) (Person),Koreans (Total) (Person),Koreans (Male) (Person),Koreans (Female) (Person),Koreans (Total) (Person),Koreans (Male) (Person),Koreans (Female) (Person),Koreans (Total) (Person),Koreans (Male) (Person),Koreans (Female) (Person),Koreans (Total) (Person),Koreans (Male) (Person),Koreans (Female) (Person),Koreans (Total) (Person),Koreans (Male) (Person),Koreans (Female) (Person),Koreans (Total) (Person),Koreans (Male) (Person),Koreans (Female) (Person),Koreans (Total) (Person),Koreans (Male) (Person),Koreans (Female) (Person),Koreans (Total) (Person),Koreans (Male) (Person),Koreans (Female) (Person),Koreans (Total) (Person),Koreans (Male) (Person),Koreans (Female) (Person),Koreans (Total) (Person),Koreans (Male) (Person),Koreans (Female) (Person),Koreans (Total) (Person),Koreans (Male) (Person),Koreans (Female) (Person),Koreans (Total) (Person),Koreans (Male) (Person),Koreans (Female) (Person),Koreans (Total) (Person),Koreans (Male) (Person),Koreans (Female) (Person),Koreans (Total) (Person),Koreans (Male) (Person),Koreans (Female) (Person)
2025.11,51128530,25443016,25685514,9305678,4484604,4821074,3243759,1576765,1666994,2354398,1153392,1201006,3050547,1523769,1526778,1394301,687996,706305,1441886,718512,723374,1092573,563204,529369,392495,195364,197131,13725710,6892986,6832724,1508951,758841,750110,1593151,811977,781174,2136966,1096998,1039968,1725960,859904,866056,1779242,898691,880551,2509131,1269845,1239286,3208860,1618023,1590837,664922,332145,332777
2025.10,51143421,25451723,25691698,9313532,4489067,4824465,3246304,1578085,1668219,2355677,1154160,1201517,3049315,1523210,1526105,1395869,688690,707179,1442046,718579,723467,1092797,563285,529512,392406,195359,197047,13724652,6893167,6831485,1509064,758837,750227,1592916,811762,781154,2136678,1096883,1039795,1726914,860355,866559,1779263,898708,880555,2510859,1270741,1240118,3209853,1618503,1591350,665276,332332,332944
2025.09,51149546,25455867,25693679,9318500,4491997,4826503,3248359,1579327,1669032,2356372,1154611,1201761,3046754,1521985,1524769,1397122,689326,707796,1442228,718760,723468,1092634,562946,529688,392230,195235,196995,13721178,6891911,6829267,1509396,758966,750430,1592431,811457,780974,2136551,1096785,1039766,1727716,860760,866956,1779599,898858,880741,2512441,1271548,1240893,3210425,1618878,1591547,665610,332517,333093
2025.08,51154981,25459789,25695192,9321863,4494474,4827389,3249975,1580238,1669737,2356667,1154753,1201914,3043162,1520100,1523062,1397772,689731,708041,1441596,718458,723138,1092989,563014,529975,391984,195152,196832,13720015,6891841,6828174,1509670,759037,750633,1591965,811165,780800,2136195,1096586,1039609,1728330,861131,867199,1780646,899345,881301,2514198,1272463,1241735,3212001,1619626,1592375,665953,332675,333278
2025.07,51159889,25463429,25696460,9323492,4495747,4827745,3251625,1581251,1670374,2357040,1155185,1201855,3041215,1519326,1521889,1398538,690124,708414,1440682,718010,722672,1093317,563050,530267,392154,195253,196901,13715016,6889738,6825278,1510181,759348,750833,1591815,810991,780824,2136299,1096544,1039755,1729337,861705,867632,1782183,900012,882171,2516753,1273708,1243045,3214016,1620579,1593437,666226,332858,333368
2025.06,51164582,25467115,25697467,9325616,4497354,4828262,3252830,1582043,1670787,2357052,1155353,1201699,3039450,1518758,1520692,1399082,690429,708653,1439764,717456,722308,1093665,563241,530424,392223,195248,196975,13711404,6888166,6823238,1510615,759478,751137,1591045,810526,780519,2135890,1096214,1039676,1730258,862137,868121,1783484,900655,882829,2519474,1275311,1244163,3216105,1621572,1594533,666625,333174,333451
2025.05,51169148,25470398,25698750,9328042,4499145,4828897,3254457,1582928,1671529,2357997,1155934,1202063,3037049,1517498,1519551,1399880,690826,709054,1439607,717511,722096,1094027,563339,530688,392211,195189,197022,13706488,6886034,6820454,1511341,759974,751367,1590956,810348,780608,2135908,1096206,1039702,1731309,862633,868676,1784116,901006,883110,2520934,1275956,1244978,3217584,1622407,1595177,667242,333464,333778
2025.04,51175725,25474633,25701092,9331860,4501804,4830056,3256408,1584035,1672373,2359159,1156613,1202546,3033844,1515919,1517925,1400827,691334,709493,1439393,717423,721970,1094460,563471,530989,391992,195101,196891,13702756,6884608,6818148,1512088,760329,751759,1590735,810131,780604,2135908,1096057,1039851,1732439,863216,869223,1785003,901278,883725,2522609,1276838,1245771,3218731,1622833,1595898,667513,333643,333870
2025.03,51183336,25479498,25703838,9335734,4504618,4831116,3259219,1585597,1673622,2360493,1157424,1203069,3031361,1514643,1516718,1402478,692193,710285,1439482,717532,721950,1095014,563688,531326,391812,194941,196871,13699381,6883349,6816032,1512969,760801,752168,1590512,809881,780631,2135628,1095977,1039651,1733574,863734,869840,1785193,901154,884039,2523173,1276834,1246339,3219574,1623318,1596256,667739,333814,333925
2025.02,51191817,25484498,25707319,9334828,4505412,4829416,3262337,1587357,1674980,2362578,1158607,1203971,3027854,1512651,1515203,1405226,693552,711674,1439809,717573,722236,1095778,563999,531779,391669,194967,196702,13698657,6883368,6815289,1513735,761064,752671,1590107,809548,780559,2135340,1095862,1039478,1735008,864313,870695,1785487,901141,884346,2524067,1277157,1246910,3221132,1623866,1597266,668205,334061,334144
2025.01,51207874,25492996,25714878,9330658,4504432,4826226,3263891,1588357,1675534,2363281,1159235,1204046,3023649,1510615,1513034,1407097,694532,712565,1438974,717162,721812,1097821,564893,532928,390910,194470,196440,13699647,6884215,6815432,1515822,762039,753783,1590666,809763,780903,2135815,1095933,1039882,1737351,865346,872005,1787592,901816,885776,2528641,1279180,1249461,3226599,1626214,1600385,669460,334794,334666
2024.12,51217221,25498324,25718897,9331828,4505355,4826473,3266598,1589912,1676686,2363629,1159601,1204028,3021010,1509243,1511767,1408422,695224,713198,1439157,717291,721866,1098049,564888,533161,390685,194413,196272,13694685,6882186,6812499,1517766,763025,754741,1591177,809920,781257,2136574,1096128,1040446,1738690,866030,872660,1788819,902380,886439,2531384,1280547,1250837,3228380,1626926,1601454,670368,335255,335113
2024.11,51226757,25504176,25722581,9335495,4507664,4827831,3268993,1591231,1677762,2364334,1160074,1204260,3018589,1508189,1510400,1409624,695854,713770,1439687,717664,722023,1098312,564865,533447,390603,194407,196196,13690645,6880565,6810080,1518700,763577,755123,1591100,809697,781403,2136632,1096190,1040442,1739751,866399,873352,1789610,902758,886852,2533979,1281907,1252072,3230071,1627652,1602419,670632,335483,335149
2024.10,51238450,25511290,25727160,9343304,4511734,4831570,3271062,1592440,1678622,2364892,1160429,1204463,3017928,1507849,1510079,1410548,696227,714321,1440094,717893,722201,1098540,565011,533529,389978,194110,195868,13686731,6879539,6807192,1519545,764109,755436,1590704,809530,781174,2136010,1095772,1040238,1740753,866902,873851,1790421,903270,887151,2535971,1282754,1253217,3231132,1628096,1603036,670837,335625,335212
2024.09,51248233,25517454,25730779,9350995,4515791,4835204,3273473,1593783,1679690,2365523,1160812,1204711,3016520,1507439,1509081,1411357,696711,714646,1440456,718109,722347,1098728,565067,533661,389443,193854,195589,13680645,6877300,6803345,1520410,764551,755859,1590858,809577,781281,2135373,1095392,1039981,1741640,867235,874405,1791496,903669,887827,2537955,1283804,1254151,3232297,1628643,1603654,671064,335717,335347
2024.08,51256511,25522808,25733703,9355801,4518536,4837265,3275593,1594978,1680615,2366033,1161164,1204869,3014770,1506680,1508090,1412063,697079,714984,1439926,717878,722048,1099231,565290,533941,389370,193826,195544,13675873,6875411,6800462,1521066,764911,756155,1590716,809546,781170,2135281,1095246,1040035,1743183,867993,875190,1792390,904171,888219,2540046,1284828,1255218,3233629,1629223,1604406,671540,336048,335492
