"By province","By age group",2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4,2023.3/4,2023.4/4,2024.1/4,2024.2/4,2024.3/4,2024.4/4,2025.1/4,2025.2/4,2025.3/4,2025.4/4
"Total","Total",4.2,4.4,3.6,3.7,5.0,3.9,2.8,2.9,3.5,3.0,2.5,2.6,3.2,2.7,2.3,2.6,3.3,2.9,2.2,2.8,3.4,2.8,2.2,2.9
"Total","15-29 Years old",8.8,10.1,8.7,8.2,9.9,9.4,6.1,5.6,6.7,7.2,6.1,5.5,6.7,6.2,5.2,5.3,6.4,6.6,4.9,5.6,6.8,6.7,5.1,5.7
"Total","30-59 Years old",2.8,3.3,2.8,2.9,3.4,2.9,2.3,2.2,2.2,2.3,2.0,1.9,2.2,2.2,1.9,1.9,2.4,2.4,1.7,1.9,2.3,2.3,1.9,2.0
"Total","60 Years old and over",5.3,3.5,2.4,3.3,6.6,3.2,2.2,3.3,5.2,2.2,1.5,2.6,3.7,2.1,1.7,2.8,4.1,2.4,1.7,3.7,4.4,2.1,1.3,3.6
"Seoul","Total",4.5,5.3,4.0,4.4,6.1,5.2,4.0,4.0,4.4,3.6,2.8,2.9,3.0,2.8,2.5,2.7,3.2,3.5,2.5,3.0,4.5,3.7,2.5,2.8
"Seoul","15-29 Years old",8.9,10.1,8.3,9.1,10.7,10.5,7.7,7.1,7.4,7.0,6.2,6.5,5.6,5.5,4.6,4.7,4.1,5.8,4.7,6.0,8.9,8.1,4.7,5.7
"Seoul","30-59 Years old",3.2,3.8,2.8,3.3,4.5,3.7,3.0,3.2,3.0,2.6,2.0,2.1,2.5,2.1,1.8,2.1,2.8,2.9,1.9,2.2,3.3,2.8,2.1,2.4
"Seoul","60 Years old and over",5.0,6.1,4.0,3.8,7.5,4.8,4.0,4.1,6.5,3.7,2.3,2.0,2.4,2.6,2.7,2.8,3.5,3.4,2.8,3.2,4.8,2.9,2.0,1.8
"Busan","Total",4.1,5.1,4.0,3.5,4.5,3.5,2.6,2.8,3.4,2.9,2.7,2.8,3.3,3.4,2.6,3.2,3.6,3.1,2.4,2.8,3.6,2.5,2.1,2.8
"Busan","15-29 Years old",9.2,13.3,10.6,9.2,9.8,8.1,7.2,5.4,8.0,7.0,6.2,6.1,6.1,8.9,8.1,9.2,8.1,6.6,5.1,3.5,7.2,5.0,5.1,4.4
"Busan","30-59 Years old",2.4,3.5,3.2,2.5,2.7,2.5,2.1,2.4,1.8,2.3,2.4,2.1,2.3,2.7,1.9,2.1,1.9,2.7,2.2,1.8,2.2,2.2,1.8,1.9
"Busan","60 Years old and over",6.1,4.1,2.0,2.8,6.4,3.3,1.1,2.5,5.0,2.1,1.6,2.6,4.0,2.2,1.3,2.6,5.2,1.8,1.7,4.9,5.2,2.2,1.6,4.1
"Daegu","Total",3.9,4.4,3.5,3.7,5.1,4.3,2.9,2.6,3.3,3.1,2.5,2.8,3.9,3.1,2.4,2.9,4.1,3.6,2.8,3.2,3.5,3.4,2.6,3.6
"Daegu","15-29 Years old",9.7,10.9,7.9,7.5,10.2,10.3,3.9,3.9,6.6,8.1,5.5,7.4,8.0,5.5,4.7,7.1,10.4,9.1,8.2,7.6,7.6,7.4,5.0,8.5
"Daegu","30-59 Years old",2.5,3.5,3.0,2.9,3.7,2.9,2.5,1.9,2.2,2.3,2.1,1.8,2.4,2.4,1.9,1.8,2.7,2.9,1.9,2.2,2.7,3.0,2.6,2.2
"Daegu","60 Years old and over",4.9,2.7,1.9,3.5,6.3,4.4,3.6,4.0,4.5,2.6,1.6,3.1,5.7,3.4,2.7,3.5,4.6,2.7,2.4,3.7,3.7,2.3,1.6,4.7
"Incheon","Total",4.6,4.9,4.1,4.7,5.4,4.8,3.2,2.7,3.8,3.6,2.9,3.1,4.5,3.1,2.5,2.6,4.0,3.5,2.2,3.3,3.6,3.3,2.4,3.7
"Incheon","15-29 Years old",7.9,8.7,9.1,8.5,10.8,9.5,6.2,5.0,7.3,7.1,6.5,5.9,8.8,5.9,5.5,5.7,9.7,7.6,5.2,6.4,6.0,7.7,5.9,8.5
"Incheon","30-59 Years old",3.0,4.1,3.1,3.7,3.4,3.6,2.6,1.7,2.1,2.7,2.2,2.5,3.5,2.6,2.0,2.0,2.9,3.0,1.7,2.4,2.6,2.5,1.9,2.2
"Incheon","60 Years old and over",8.1,4.5,3.1,5.2,8.5,5.1,2.7,4.8,7.5,3.4,2.1,2.9,4.3,2.6,2.1,2.5,3.7,2.6,2.0,3.9,5.2,3.1,1.7,5.5
"Gwangju","Total",3.7,4.3,3.5,4.0,4.8,3.7,2.8,3.1,3.8,2.8,2.4,2.5,2.5,2.6,2.1,3.1,3.2,2.9,2.5,3.6,3.5,3.3,2.7,3.5
"Gwangju","15-29 Years old",7.3,9.2,8.2,10.7,8.5,9.1,7.4,5.8,7.6,6.7,6.3,5.7,4.4,5.8,6.0,6.1,9.6,8.1,6.2,6.2,7.1,7.5,6.9,7.1
"Gwangju","30-59 Years old",2.7,3.4,2.4,2.9,3.1,3.0,2.1,1.9,2.6,2.1,2.0,1.6,1.7,2.0,1.2,1.8,1.6,1.8,1.7,2.2,2.5,3.3,2.5,2.0
"Gwangju","60 Years old and over",4.4,2.9,3.3,2.6,8.2,1.7,1.5,5.5,5.8,2.2,0.5,3.6,3.8,2.4,2.2,5.4,4.2,2.7,2.6,6.2,4.3,1.3,0.9,5.9
"Daejeon","Total",5.1,5.2,4.0,3.2,5.1,3.4,2.1,2.6,3.3,2.4,2.0,1.7,3.1,2.9,2.5,2.7,3.4,3.1,2.4,3.2,3.5,2.9,2.2,2.9
"Daejeon","15-29 Years old",8.0,8.7,8.8,5.3,8.9,9.1,5.1,4.5,6.2,5.4,3.6,2.2,6.0,7.6,6.0,4.2,6.0,6.0,5.1,6.9,8.0,6.5,3.8,5.8
"Daejeon","30-59 Years old",3.7,4.0,3.3,2.9,3.4,2.0,1.5,2.1,2.1,1.6,1.6,1.4,2.1,1.8,1.8,1.8,2.5,2.1,1.8,2.1,2.1,2.3,2.1,1.9
"Daejeon","60 Years old and over",7.4,5.9,1.6,2.2,8.0,2.9,1.4,2.4,5.0,2.2,1.9,2.5,3.9,2.4,2.0,4.6,4.2,3.7,2.1,4.0,4.5,2.0,1.3,3.9
